,Board Name,Enrolment,School Count
1,Toronto DSB,247005,663
2,Peel DSB,157913,284
3,York Region DSB,128615,313
4,Toronto CDSB,91454,229
5,Thames Valley DSB,80560,183
6,Dufferin-Peel CDSB,78955,182
7,Ottawa-Carleton DSB,75170,154
8,Durham DSB,72199,177
9,Halton DSB,66165,116
10,Waterloo Region DSB,65460,146
11,Simcoe County DSB,53620,115
12,York CDSB,52600,114
13,Hamilton-Wentworth DSB,50525,146
14,Ottawa CSB,44815,119
15,DSB of Niagara,38170,112
16,Halton CDSB,36840,60
17,Greater Essex County DSB,36835,76
18,Upper Grand DSB,35350,92
19,Kawartha Pine Ridge DSB,33395,107
20,Hamilton-Wentworth CDSB,30180,64
21,Upper Canada DSB,26860,108
22,Grand Erie DSB,26550,84
23,CSDC du Centre-Est de l'Ontario,25475,80
24,Waterloo CDSB,24085,65
25,Simcoe Muskoka CDSB,22070,53
26,Lambton Kent DSB,21855,73
27,Durham CDSB,21655,54
28,London District CSB,21485,57
29,Windsor-Essex CDSB,21085,47
30,Niagara CDSB,20874,68
31,Limestone DSB,19795,73
32,CS catholique MonAvenir,17220,77
33,Bluewater DSB,16955,56
34,Trillium Lakelands DSB,16830,58
35,CÉP de l'Est de l'Ontario,16805,71
36,Avon Maitland DSB,15455,48
37,Hastings & Prince Edward DSB,14985,52
38,Peterborough Victoria Northumberland and Clarington CDSB,14940,39
39,Rainbow DSB,13469,67
40,CDSB of Eastern Ontario,13154,59
41,CS Viamonde,12995,76
42,Algonquin and Lakeshore CDSB,11905,42
43,Brant Haldimand Norfolk CDSB,10565,38
44,CSDC de l'Est ontarien,10255,46
45,Conseil scolaire catholique Providence,10120,38
46,Algoma DSB,9939,64
47,Near North DSB,9835,50
48,Renfrew County DSB,9105,33
49,St Clair CDSB,8830,32
50,Lakehead DSB,8749,33
51,Wellington CDSB,8080,24
52,Thunder Bay CDSB,7595,32
53,DSB Ontario North East,6610,44
54,CSDC du Nouvel-Ontario,6555,49
55,Sudbury CDSB,6223,23
56,CSDC des Grandes Rivières,5715,42
57,Renfrew County CDSB,4915,24
58,Keewatin-Patricia DSB,4823,36
59,Huron Perth CDSB,4650,20
60,Bruce-Grey CDSB,4645,15
61,Huron-Superior CDSB,4595,24
62,Nipissing-Parry Sound CDSB,2740,19
63,CSDC Franco-Nord,2725,22
64,Rainy River DSB,2650,19
65,CS public du Grand Nord de l'Ontario,2649,35
66,Northeastern CDSB,2260,14
67,CSD du Nord-Est de l'Ontario,2165,19
68,Superior-Greenstone DSB,1435,17
69,Kenora CDSB,1345,8
70,Northwest CDSB,1255,6
71,CSDC des Aurores boréales,849,11
72,Superior North CDSB,654,8
73,Penetanguishene PSSB,370,1
74,Moose Factory Island DSAB,295,1
75,Moosonee DSAB,275,1
76,James Bay Lowlands SSB,180,1
